_id,name,description,image,__v,type
64292927021f17e13fbc1e46,"""Hyper"" Rod","In his specially-modified Seven Deuce Blaster, riot racer ""Hyper"" Rod is a reprogrammed protocol droid who now focuses on the uncivilized task of eliminating his opponents at the Safa Toma Speedway.",https://lumiere-a.akamaihd.net/v1/images/hyper-rod-main_a834e5e3.jpeg,0,characters
64292927021f17e13fbc20c1,Onaconda Farr,"The Senator from Rodia, Onaconda Farr had long been a friend and ally to Padmé Amidala. Farr disappointed many when he briefly allied his world to the Separatist cause, but he saw the error of his ways and returned to the Republic fold with Amidala's help. Nonetheless, the damage was done, and some in the Senate were not willing to forgive and forget.",https://lumiere-a.akamaihd.net/v1/images/onaconda_farr_5f82db19.jpeg,0,characters
64292927021f17e13fbc20c2,Onca,"Together with his brother Bulduga, Onca was part of a legendary bounty hunting team. While Bulduga fancied himself a fast-drawing gunslinger, Onca was slower, unable to overcome the bulk of his Ithorian build to snap off shots as quickly as his brother could. Instead, Onca favored firepower over flash or finesse. He often carried more than one blaster rifle at a time, including a sawed-off one.",https://lumiere-a.akamaihd.net/v1/images/acw_ia_94341_c17cd44b.jpeg,0,characters
64292927021f17e13fbc20c3,Oniho Zaya,"Oniho Zaya lives in the fathier stables of the Canto Casino, doing chores and trying to avoid Bargwill Tomder’s wrath. An imaginative boy, Oniho has a knack for storytelling, and entertains the other children with heroic tales set long ago and far away.",https://lumiere-a.akamaihd.net/v1/images/tlj-db-oniho-zaya-main-image_e8b0480f.jpeg,0,characters
64292927021f17e13fbc20c4,Oola,"A green-skinned Twi'lek, Oola was one of Jabba's slaves, forced to dance for the Hutt's pleasure. When Oola resisted Jabba's orders one time too many, the cruel Hutt dropped her into the rancor's cave beneath his throne room -- a one-way trip taken by many who no longer pleased the crimelord.",https://lumiere-a.akamaihd.net/v1/images/oola-main-image_5c15a693.jpeg,0,characters
64292927021f17e13fbc20c5,Oora,"When the Inquisitors were tasked with hunting down all Force-sensitive children, they made their way to Oora’s home -- the Ithorian’s baby, Pypey, was connected with the mystical energy field. Thanks to some quick thinking, Oora sent Pypey away with a family droid, and the Ghost crew later saved the child from the Empire.",https://lumiere-a.akamaihd.net/v1/images/oora_c7e43f47.jpeg,0,characters
64292927021f17e13fbc20c6,Opeepit,"The Colossus platform is home to many hardworking alien species, including a seemingly lone figure who can be found walking through the corridors with a trusty machine to keep the floors spotless.",https://lumiere-a.akamaihd.net/v1/images/resistance-db-opeepit-main-image_a622c1b9.jpeg,0,characters
64292927021f17e13fbc20c7,Oplock,"With a jubilant greeting in his native tongue, Oplock can be off-putting to those who don't speak Cracek, the language of the Esral'sa'Niktos, a Nikto subspecies more commonly referred to as the mountain Nikto. But Oplock is a trusted mechanic and loyal friend to Marcus Speedstar, perhaps one of the only friends or family members to stand by him despite past infractions that have cost others their lives. When Speedstar's past catches up to them on the Colossus, it's Oplock who must pay for the racer's misdeeds when he's taken hostage by the Guavian Death Gang until his boss has made good on his debt.",https://lumiere-a.akamaihd.net/v1/images/resistance-db-oplock-main-image_12c80f6a.jpeg,0,characters
64292927021f17e13fbc20c8,Oppo Rancisis,"A snakelike Thisspiasian, Oppo Rancisis's long life seeking to keep peace in the galaxy culminated in his appointment to the Jedi Council in the years before the Battle of Naboo.",https://lumiere-a.akamaihd.net/v1/images/oppo-rancisis-edited_c22ddc63.jpeg,0,characters
64292927021f17e13fbc20c9,Orka,"Orka and his partner Flix run the Office of Acquisitions on the Colossus. Orka is a smooth-talking and business-savvy Chadra-Fan shopkeeper who has a reputation for convincing bargain hunters to spend their credits for only the best. But he takes a liking to Kaz, and is willing to barter with the young pilot for some juicy grub.",https://lumiere-a.akamaihd.net/v1/images/resistance-db-orka-main_e07f2730.jpeg,0,characters
64292927021f17e13fbc20ca,Orla Jareni,"Orla Jareni is a Wayseeker Jedi. Where the Force leads her, Orla follows—she is not tethered to one location. Her caustic wit, sharp judgments, and general lack of tact often rub people the wrong way, and her independence has led her to operate independently of the dictates of the Jedi Council. Her appearance is as strikingly individual as her choices, with the stark pale skin and high cheekbones common to Umbarans. In addition, Orla wields a hinged, double-bladed lightsaber.",https://lumiere-a.akamaihd.net/v1/images/orla-jareni-main_8579287d.jpeg,0,characters
64292927021f17e13fbc20cb,Orn Free Taa,"A corpulent, corrupt Twi'lek Senator from Ryloth, Orn Free Taa was disliked on his homeworld for enriching himself on Coruscant and enmeshing himself in politics, becoming a leading power broker in the Senate. Free Taa was one of the Republic's leading Loyalists and a strong backer of the military, but his indulgences made him a symbol of everything the Separatists considered rotten about the Republic. At the dawn of the Empire, Free Taa continues to put his own ambitions ahead of the good of his people, but the Imperial elite are more interested in making him an example than an ally.",https://lumiere-a.akamaihd.net/v1/images/the-bad-batch-devil-s-deal-story-gallery-02_81b035fb.jpeg,0,characters
64292927021f17e13fbc20cc,Orphne,"Dwelling deep beneath the surface of Aleen is a strange being known as Orphne. Of reptilian descent with a quick tongue and a clever wit, Orphne knows of the delicate balance that must be maintained between the surface and subsurface worlds. The nymph was witness to the upsetting of this balance when a passage between both worlds was inadvertently breached, which resulted in tumultuous ground quakes shaking the planet.",https://lumiere-a.akamaihd.net/v1/images/screen_shot_2015-05-26_at_5_5b990416.png,0,characters
64292927021f17e13fbc20c0,Omera,"On the peaceful planet of Sorgan, the widow Omera makes a life for herself and her daughter, Winta, in a small village of krill farmers. With a keen eye for shooting and quick survival reflexes, Omera is poised, capable of defending herself, her family, and their home.",https://lumiere-a.akamaihd.net/v1/images/omera-main_5caeaea8.jpeg,0,characters
64292927021f17e13fbc20cd,Oruba the Hutt,"A ruling member of the Grand Hutt Council, Oruba was an ancient Hutt, taken to affectations like his rakish chapeau and expensive wrap. Oruba's pale skin -- a genetic defect that left him bereft of pigment -- was prone to cracking, meaning the gangster often pampered himself to keep from unsightly chafing. Oruba would regularly convene with his fellow Hutt councilors in the halls of the Great Hutt Council on Nal Hutta.",https://lumiere-a.akamaihd.net/v1/images/databank_orubathehutt_01_169_0d440129.jpeg,0,characters
64292927021f17e13fbc20cf,Otua Blank,"A disgustingly indulgent Belugan alien, Lord Otua Blank ruled the small planet of Quarzite with an iron fist. He marshaled an elite military force that protected his domain, but that weren't skilled enough to deal with the most elite of his enemies, the Kage warriors. Blank hired Boba Fett's crew of bounty hunters to protect a precious cargo delivery to his subterranean lair from the Kage marauders that prowled the underground.",https://lumiere-a.akamaihd.net/v1/images/otua_blank_c97ef986.jpeg,0,characters
64292927021f17e13fbc20d0,Owen Lars,"Owen Lars continued his father Cliegg’s efforts to build his homestead into a productive farm, working alongside his wife, Beru. Helping with the dreary chores required to keep the farm profitable, Owen relies on his nephew, Luke Skywalker, whom the couple raised since birth. Like most moisture farmers on Tatooine, Lars is fiercely protective of his land and his family. When there is an intrusion on the tranquility of the Lars Homestead, Owen defends his home.",https://lumiere-a.akamaihd.net/v1/images/owen-lars-main_08c717c8.jpeg,0,characters
64292927021f17e13fbc20d1,Pablo,"On a lawless world like Nal Hutta, every corner store might be the source of lethal munitions and untraceable weaponry. Pablo's pawnshop proudly boasted all sorts of deadly gear. Based out of the Bilbousa Bazaar, Pablo kept a well-stocked shop reputed to have everything a bounty hunter might need. The shifty Rodian spoke in a sycophantic whisper, always careful not to upset his potentially murderous clientele. His connection to the Hutts and his ability to keep his store well-stocked is what kept the slimy trader alive and intact. If threatened, the spineless Rodian always backed down, much to the consternation of his Twi'lek partner, who worried for his safety.",https://lumiere-a.akamaihd.net/v1/images/pablo_83f15a96.jpeg,0,characters
64292927021f17e13fbc20d2,Padmé Amidala,"Padmé Amidala was a courageous, hopeful leader, serving as Queen and then Senator of Naboo -- and was also handy with a blaster. Despite her ideals and all she did for the cause of peace, her secret, forbidden marriage to Jedi Anakin Skywalker would prove to have dire consequences for the galaxy.",https://lumiere-a.akamaihd.net/v1/images/Padme-Amidala_05d50c8a.jpeg,0,characters
64292927021f17e13fbc20d3,Paige Tico,"A talented pilot and gunner, Paige Tico operates the ventral guns on the Resistance bomber Cobalt Hammer. She fled the Otomok system and joined the Resistance with her younger sister Rose. Paige loves animals, particularly fathiers, and dreams of seeing one during some quiet period when the galaxy is at peace.",https://lumiere-a.akamaihd.net/v1/images/paige-tico-tlj_df2960c8.jpeg,0,characters
64292927021f17e13fbc20d4,Pammich Nerro Goode,"A young Resistance fighter, Pammich Nerro Goode serves as lead dispatcher for D’Qar’s starfighters during the attack on Starkiller Base. After the Resistance flees its base, Goode is pressed into duty as a transport pilot.",https://lumiere-a.akamaihd.net/v1/images/tlj-db-pammich-nerro-goode-main-image_fef55c87.jpeg,0,characters
64292927021f17e13fbc20d5,Pao,"An amphibious Drabata, the fierce commando Pao charges into battle with the Empire while shouting a full-throated battle cry of “Sa´kalla!” as is his custom. He joins the Rogue One team on its historic mission to secure the Death Star plans.",https://lumiere-a.akamaihd.net/v1/images/pao-main_1588acf7.jpeg,0,characters
64292927021f17e13fbc20d6,Paploo,"A skilled Ewok scout, Paploo joined his friends Wicket and Teebo to lead Han Solo’s team of rebel commandos to the site of the shield generator protecting the Death Star in orbit. As a diversion, Paploo stole an Imperial speeder bike, racing off into the forest with most of the bunker’s guards in frantic pursuit. That allowed Han’s team to attack the facility.",https://lumiere-a.akamaihd.net/v1/images/paploo_f063504f.jpeg,0,characters
64292927021f17e13fbc20d7,Passel Argente,"The leader of a collection of powerful galactic companies, Passel Argente was one of the chief backers of Count Dooku's Separatist movement, supplying funds, battle droids and warships for Dooku's cause.",https://lumiere-a.akamaihd.net/v1/images/passel-argente-main-image_f5e71c22.jpeg,0,characters
64292927021f17e13fbc20d8,Paz Vizsla,"Paz Vizsla is a brawny warrior encased in the strongest beskar armor. A descendant of the esteemed House Vizsla, he comes from a long line of leaders spanning the centuries.",https://lumiere-a.akamaihd.net/v1/images/paz-vizla-main_4d1071bc.jpeg,0,characters
64292927021f17e13fbc20d9,Pegla,"As the de facto head of security at Zorby's Western Shiplot on Ferrix, the scruffy and surly Pegla protects docked ships with a team of trained Corellian junkyard hounds. Together, they keep unwanted trespassers out, though Pegla himself occasionally looks the other way when Cassian Andor sneaks into the lot.",https://lumiere-a.akamaihd.net/v1/images/pelga-main_1a3e04d8.jpeg,0,characters
64292927021f17e13fbc20da,Peli Motto,"The scrappy proprietor of Hangar 3-5 in the Mos Eisley Spaceport, Peli Motto makes a living refueling and repairing battered ships. With the help of a team of hyperactive pit droids and other mechanical assistants, she can make quick work of the worst carbon scoring, but she's willing to tackle the job herself for an additional fee.",https://lumiere-a.akamaihd.net/v1/images/peli-motto-main_1298ab9e.jpeg,0,characters
64292927021f17e13fbc20ce,Osi Sobeck,"Fiery-tempered and cruel, Osi Sobeck was born to be the warden of so hope-draining an installation as the Citadel, an infamous prison designed to hold rogue Jedi. Commanded by the Separatists, Sobeck did what he could to please his new master, Count Dooku.",https://lumiere-a.akamaihd.net/v1/images/databank_osisobeck_01_169_074cb20b.jpeg,0,characters
64292927021f17e13fbc20db,Peli Motto's pit droids,"Cheap and expendable, pit droids are hyperactive repair units that spring into action when needed. Peli Motto keep a trio of eccentric pit droids busy in her hangar. When not needed, the droids can fold up into a compact package.",https://lumiere-a.akamaihd.net/v1/images/peli-motto-s-pit-droids_0135e573.jpeg,0,characters
64292927021f17e13fbc20bf,Omega,"Young Omega travels the galaxy with her brothers, Clone Force 99, as a formidable member of the team who has learned to use her trusty energy bow with great skill. Before the Empire came to power, Omega served as a medical assistant to Nala Se on the clone's homeworld of Kamino. After spending her life working in Tipoca City, the product of the Kaminoans cloning experimentation, Omega now puts her curious mind and intelligence to use for good in a rapidly changing galaxy.",https://lumiere-a.akamaihd.net/v1/images/omega-s2-a-main_0216f1de.jpeg,0,characters
64292927021f17e13fbc20bd,Oleg,"Nazhros Oleg was a caustic cadet at Lothal’s Imperial Academy who never missed a chance to undermine his comrades, seizing every advantage in assessment tests and behaving selfishly on training missions. After Jai Kell stunned Oleg while escaping the academy with an undercover Ezra Bridger, Oleg suspected Zare Leonis had played a role in their escape. Oleg tried to push Zare into revealing his secret while relishing training missions that let him bully and interrogate Lothal citizens. One mission revealed an operation transporting black-market goods on Lothal, but the cadet didn’t know his uncles were involved in this illegal trade. This revelation led to Oleg’s dismissal from the academy.",https://lumiere-a.akamaihd.net/v1/images/image_64afa8dc.jpeg,0,characters
64292927021f17e13fbc20a3,Nari,"A young Jedi at the time of Order 66, Nari is now a fugitive during the dark days of Imperial rule. He must keep his Jedi abilities a secret, to avoid the attention of the dangerous Inquisitors.",https://lumiere-a.akamaihd.net/v1/images/nari-main_a1eb51a0.jpeg,0,characters
